TIMESTAMP,MUX0,MUX1,MUX2,MUX3,MUX4,MUX5,MUX6,MUX7
1572784304,759,797,790,789,13,13,14,13
1572784305,752,798,785,787,14,14,13,13
1572784306,760,796,788,789,14,12,13,12
1572784307,762,797,786,788,13,14,15,14
1572784308,757,794,788,789,14,14,14,14
1572784310,758,797,788,792,15,14,13,13
1572784311,756,789,789,789,15,14,13,13
1572784312,769,795,788,789,14,14,13,12
1572784313,752,789,794,786,12,14,14,14
1572784314,760,787,786,788,12,12,13,14
1572784315,754,797,792,788,13,12,13,13
1572784316,756,796,787,789,15,15,14,14
1572784317,762,796,790,786,15,14,13,12
1572784318,759,797,792,788,12,13,12,13
1572784319,753,792,785,789,16,14,14,14
1572784320,754,798,794,787,12,12,14,14
1572784321,752,788,788,789,15,14,14,14
1572784323,763,801,784,792,14,13,14,13
1572784324,761,794,788,789,13,12,13,13
1572784325,757,788,788,789,13,13,13,13
1572784326,752,796,792,788,13,14,14,14
1572784327,754,796,792,789,15,15,15,14
1572784328,751,792,790,789,15,14,12,13
1572784329,769,799,788,790,15,14,15,13
1572784330,758,793,793,789,13,13,13,13
1572784331,756,793,788,790,13,13,14,13
1572784333,758,789,789,788,13,13,14,14
1572784337,752,788,787,789,12,12,13,13
1572784338,760,795,787,788,13,13,13,14
1572784340,762,797,786,792,14,14,15,14
1572784342,753,796,786,788,13,13,12,13
1572784343,760,794,789,788,14,12,12,13
1572784344,757,797,787,788,15,14,15,15
1572784345,761,800,789,790,14,13,13,12
1572784346,761,796,789,787,15,14,14,14
1572784347,762,792,790,789,15,13,13,12
1572784348,761,802,790,790,15,14,13,12
1572784350,757,788,789,788,13,12,12,13
1572784351,761,792,789,788,13,14,14,14
1572784352,765,790,790,789,13,12,13,14
1572784353,756,788,792,788,15,14,14,15
1572784354,753,789,792,792,14,14,14,13
1572784355,752,794,787,788,15,14,14,13
1572784356,754,796,792,788,14,13,13,12
1572784357,758,793,792,790,14,14,13,12
1572784358,758,798,790,789,13,13,14,14
1572784359,761,799,789,787,14,15,14,15
1572784360,757,797,787,788,16,15,14,14
1572784361,759,793,789,792,13,13,13,15
1572784363,760,795,789,788,13,13,12,13
1572784364,753,789,788,788,14,13,13,12
1572784365,761,793,789,790,13,14,15,14
1572784366,760,792,792,788,15,14,15,15
1572784367,759,798,787,789,15,13,13,12
1572784368,754,796,786,788,13,13,13,14
1572784369,756,792,786,789,13,13,12,12
1572784370,760,797,786,788,13,13,12,13
1572784371,759,800,790,792,12,14,14,15
1572784372,754,795,787,789,13,13,15,14
1572784373,762,798,786,789,14,14,14,14
1572784374,765,788,788,790,14,13,13,12
1572784376,758,801,789,789,15,12,13,13
1572784377,756,797,792,788,13,13,13,13
1572784378,762,797,785,788,13,13,13,14
1572784379,754,797,788,789,14,13,14,14
1572784380,757,788,790,788,13,13,14,13
1572784381,759,793,793,789,14,13,13,12
1572784382,765,796,787,790,14,12,13,13
1572784383,751,795,788,787,12,13,13,14
1572784384,751,790,786,789,13,14,14,14
1572784385,761,790,790,788,14,14,15,14
1572784386,761,795,789,788,14,13,13,13
1572784387,762,795,785,789,13,13,13,13
1572784388,759,800,789,789,14,12,13,14
1572784390,751,797,786,787,13,13,13,14
1572784391,761,794,792,789,14,13,15,15
1572784392,751,793,790,789,14,14,15,14
1572784393,759,792,792,789,15,14,14,13
1572784394,759,788,790,789,15,14,13,13
1572784395,751,797,792,789,12,13,13,14
1572784396,758,797,788,792,15,14,15,15
1572784397,763,790,790,790,15,13,13,13
1572784398,758,799,790,788,14,14,14,13
1572784399,753,795,786,788,13,14,14,14
1572784400,753,790,785,788,12,13,14,14
1572784401,763,794,788,790,13,14,14,14
1572784403,756,797,788,789,15,14,14,15
1572784404,765,796,789,788,15,13,14,13
1572784405,762,792,790,789,14,14,13,13
1572784406,762,795,785,790,13,12,12,13
1572784407,766,794,787,787,13,13,13,13
1572784408,765,799,790,788,14,13,14,15
1572784409,757,797,793,787,13,13,12,13
1572784410,768,793,789,790,13,14,13,13
1572784411,762,797,786,787,15,14,14,14
1572784412,751,789,789,788,12,13,12,13
1572784413,751,788,785,790,13,13,14,14
1572784414,754,795,785,787,12,13,15,14
1572784415,761,793,787,789,14,14,13,13
1572784417,754,795,789,789,14,14,14,14
1572784418,759,799,788,787,13,12,12,13
1572784419,753,794,787,789,13,13,13,13
1572784420,761,788,789,787,13,12,12,13
1572784421,762,792,784,789,14,13,12,13
1572784422,758,797,789,789,15,15,14,13
1572784423,760,790,792,789,14,13,12,13
1572784424,761,792,786,789,12,13,12,14
1572784425,758,798,785,790,13,13,13,14
1572784426,768,788,786,790,14,14,14,15
1572784427,751,790,788,789,14,14,15,14
1572784428,762,790,785,788,13,13,13,13
1572784430,762,795,794,790,14,13,13,12
1572784431,763,793,790,789,13,12,13,13
1572784432,762,789,788,789,13,14,14,14
1572784433,752,789,790,789,15,14,14,14
1572784434,751,790,785,790,14,14,14,15
1572784435,762,793,786,789,14,14,14,15
